SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
3,1st,*Adam Kennedy,Angels,260,'00,7,A,2B+2,L,-,-,1-,2-4,5-,6-12,13-,14-17,18-,19-20
4,1st,*Ben Molina,Angels,120,'00,6,C,C+8,R,-,-,1-2,3-,4-6,6-15,-,16-18,-,19-20
2,1st,*Ken Hill,Angels,170,'00,0,6,Starter,R,5-6,1-4,7-13,14-18,19-,20-,-,-,-,-
1,1st,*Kent Bottenfield,Angels,330,'00,3,6,Starter,R,5-7,1-4,8-12,13-16,17-,18-19,-,20-,-,-
5,1st,*Scott Spiezio,Angels,210,'00,7,C,DH,S,-,-,-,1-4,5-9,10-11,-,12-17,-,18-20
5,1st,Chuck Finley,Angels,470,'00,5,6,Starter,L,6-7,1-5,8-12,13-15,16-17,18-19,-,20-,-,-
4,1st,Darin Erstad,Angels,140,'00,6,B,"LF-RF+2, 1B+1",L,-,-,1-2,3-,4-5,6-15,16-,17-,18-,19-20
1,1st,Garret Anderson,Angels,250,'00,7,B,"CF+3, LF-RF+2",L,-,-,1-3,4-,-,5-14,-,15-17,-,18-20
3,1st,Gary DiSarcina,Angels,40,'00,5,B,SS+4,R,-,-,1-,2-,3-,4-20,-,-,-,-
8,1st,Jeff Huson,Angels,160,'00,7,A,2B-SS+4,L,-,-,1-5,-,6-7,8-18,19-20,-,-,-
11,1st,Mark Petkovsek,Angels,130,'00,3,1,Reliever,R,4-6,1-3,7-13,14-17,-,18-19,-,20-,-,-
15,1st,Matt Walbeck,Angels,100,'00,6,B,C+7,S,-,-,1-,2-,3-6,7-19,-,-,-,20+
14,1st,Mo Vaughn,Angels,300,'00,8,C,1B+0,L,-,1-3,4-,5-,6-9,10-15,-,16-,-,17-20
9,1st,Orlando Palmeiro,Angels,150,'00,8,B,LF-RF+1,L,-,-,1-2,3-,4-9,10-18,19-,20-,-,-
13,1st,Steve Sparks,Angels,150,'00,0,6,Starter,R,4-7,1-3,8-12,13-18,19-,20-,-,-,-,-
2,1st,Tim Belcher,Angels,110,'00,0,6,Starter,R,3-5,1-2,6-12,13-18,-,19-,-,20-,-,-
12,1st,Tim Salmon,Angels,290,'00,8,B,LF-RF+1,R,-,1-,-,2-3,4-11,12-15,-,16-17,-,18-20
7,1st,Todd Greene,Angels,180,'00,5,B,LF-RF+1,R,-,-,-,1-2,-,3-8,-,9-13,-,14-20
6,1st,Troy Glaus,Angels,240,'00,7,B,3B+1,R,-,1-2,-,3-4,5-11,12-14,-,15-16,-,17-20
6,FS,Troy Glaus,Angels,240,'00,7,B,3B+1,R,-,1-2,-,3-4,5-11,12-14,-,15-16,-,17-20
10,1st,Troy Percival,Angels,180,'00,3,1,Closer,R,7-8,1-6,9-11,12-18,19-,-,-,20-,-,-
65,1st,*Daryle Ward,Astros,450,'00,9,C,LF-RF+0,L,-,1-2,3-,4-,5-,6-14,-,15-16,-,17-20
64,1st,*Mitch Meluskey,Astros,400,'00,10,B,C+6,S,-,1-,2-3,4-5,6-10,11-15,-,16-19,-,20+
61,1st,*Moises Alou,Astros,470,'00,9,B,LF-RF+0,R,-,-,1-,2-4,5-8,9-13,14-,15-16,-,17-20
63,1st,*Octavio Dotel,Astros,350,'00,3,6,Starter,R,8-,1-7,9-11,12-16,17-19,-,-,20-,-,-
62,1st,*Roger Cedeno,Astros,430,'00,10,A,OF+1,S,-,1-3,4-5,-,6-9,10-14,15-17,18-19,20-,-
201,1st,Bill Spiers,Astros,220,'00,8,B,3B+1,L,-,-,1-2,3-4,5-8,9-16,17-,18-,19-,20+
202,1st,Billy Wagner,Astros,230,'00,5,1,Closer,L,12-13,1-11,14-15,16-18,19-,20-,-,-,-,-
194,1st,Carl Everett,Astros,540,'00,9,A,OF+2,S,-,1-,2-,3-4,5-8,9-12,13-14,15-17,-,18-20
189,1st,Craig Biggio,Astros,350,'00,9,A,2B+3,R,-,1-,2-4,5-,6-10,11-15,16-,17-19,-,20+
189,DS,Craig Biggio,Astros,350,'00,9,A,2B+3,R,-,1-,2-4,5-,6-10,11-15,16-,17-19,-,20+
188,1st,Derek Bell,Astros,140,'00,6,A,LF-RF+1,R,-,1-,2-,-,3-8,9-15,16-17,18-,-,19-20
199,1st,Jay Powell,Astros,70,'00,4,1,Reliever,R,7-9,1-6,10-12,13-14,15-16,17-19,-,20-,-,-
187,1st,Jeff Bagwell,Astros,570,'00,10,A,1B+0,L,-,1-,-,2-3,4-12,13-15,16-,17-,-,18-20
198,1st,Jose Lima,Astros,460,'00,3,07,Starter,R,6-9,1-5,10-13,14-17,-,18-19,-,20-,-,-
191,1st,Ken Caminiti,Astros,330,'00,9,B,3B+1,S,-,1-,2-3,4-5,6-11,12-16,17-,18-,-,19-20
195,1st,Mike Hampton,Astros,470,'00,3,07,Starter,L,6-7,1-5,8-14,15-16,17-18,19-20,-,-,-,-
