SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,Icon,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
1,UL,Garrett Anderson,Angels,530,'04,11,11,LF-RF+2,L,S,-,1-,2-4,5-6,7-8,9-15,-,16-18,-,19+
2,UL,David Eckstein,Angels,40,'04,9,15,SS+2,R,,-,1-,2-4,5-6,7-9,10-17,18-,19-20,-,21+
3,UL,Darin Erstad,Angels,60,'04,9,12,CF+3,L,,-,1-,2-4,5-6,7-9,10-18,-,19-,-,20+
4,UL,Troy Glaus,Angels,180,'04,10,12,3B+0,R,,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
5,UL,Bengie Molina,Angels,90,'04,9,9,C+11,R,G,-,1-,2-4,5-8,9-,10-17,-,18-19,-,20+
6,UL,Ramon Ortiz,Angels,40,'04,2,6,Starter,R,,1-3,4-6,7-12,13-16,17-,18-19,-,20-23,-,24+
7,UL,Eric Owens,Angels,10,'04,9,13,OF+0,R,,-,1-,2-5,6-7,8-9,10-18,19-,20-,-,21+
8,UL,Tim Salmon,Angels,140,'04,11,10,LF-RF+1,R,,-,1-,2-4,5-7,8-12,13-17,-,18-19,-,20+
9,UL,Scot Shields,Angels,320,'04,4,5,Starter,R,,1-3,4-7,8-14,15-16,17-,18-19,-,20-25,-,26+
10,UL,Scott Spiezio,Angels,200,'04,9,11,"1B+0, 3B+1",S,,-,1-,2-3,4-5,6-9,10-15,-,16-18,19-,20+
11,UL,Jarrod Washburn,Angels,200,'04,4,6,Starter,L,,1-4,5-7,8-12,13-16,-,17-18,-,19-22,-,23+
21,UL,**Kelvim Escobar,Angels,140,'04,2,5,Starter,R,,1-0,2-6,7-13,14-16,17-,18-19,-,20-23,-,24+
40,UL,**Adam Kennedy,Angels,170,'04,10,17,2B+2,L,,-,1-,2-3,4-6,7-10,11-17,18-,19-,-,20+
40,UL,*Kevin Gregg,Angels,320,'04,5,2,Reliever,R,R,1-2,3-7,8-12,13-16,17-,18-19,-,20-27,-,28+
55,UL,*Chone Figgins,Angels,440,'04,13,22,"CF+1, SS+3",S,,-,1-2,3-4,5-7,8-11,12-15,16-17,18-,19-20,21+
73,UL,*Troy Glaus,Angels,510,'04,10,11,3B+1,R,,-,1-2,3-4,5-6,7-10,11-13,-,14-16,-,17+
90,UL,**Francisco Rodriguez,Angels,250,'04,5,1,Reliever,R,,1-3,4-9,10-14,15-17,18-,19-,-,20-23,-,24+
99,UL,**Bartolo Colon,Angels,470,'04,4,7,Starter,R,,1-2,3-6,7-11,12-17,18-,19-20,-,21-22,-,23+
100,UL,**Vladimir Guerrero,Angels,500,'04,13,12,LF-RF+1,R,,-,1-,2-4,5-6,7-11,12-17,-,18-,-,19+
112,UL,*Vladimir Guerrero,Angels,540,'04,13,14,LF-RF+1,R,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
7,UL,**Orlando Palmeiro,Astros,40,'04,9,10,OF+2,L,,-,1-,2-4,5-6,7-9,10-18,-,19-20,-,21+
11,P,Jeff Kent,Astros,450,'04,10,13,2B+3,R,,-,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
42,P,Ricky Stone,Astros,120,'04,3,1,Reliever,R,,1-2,3-5,6-14,15-17,18-,19-21,-,22-23,-,24+
