Name,Team,SetNumber,Ed,Pts,Yr,OB_C,Spd_IP,Pos,H,Icon,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
Vladimir Guerrero,Angels,7,UL,640,'05,12,15,LF-RF+2,R,V S,,1-,2-3,4-6,7-9,10-15,16-,17-18,-,19+
**Steve Finley,Angels,1,UL,320,'05,9,12,CF+0,L,,,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
Jose Guillen,Angels,8,UL,310,'05,10,11,LF-RF+1,R,,,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
**Paul Byrd,Angels,135,UL,290,'05,4,6,Starter,R,,1-,2-4,5-9,10-15,16-,17-18,-,19-22,-,23+
Troy Glaus,Angels,5,UL,260,'05,10,10,3B+1,R,,,1-2,3-4,5-6,7-11,12-15,-,16-17,-,18+
Francisco Rodriguez,Angels,11,UL,250,'05,5,1,Closer,R,,1-2,3-10,11-15,16-17,18-,19-23,-,24-27,-,28+
Garret Anderson,Angels,1,UL,210,'05,11,12,CF+1,L,,,1-2,3-5,6-7,8-9,10-17,-,18-19,-,20+
Scot Shields,Angels,203,UL,210,'05,4,2,Reliever,R,,1-,2-6,7-13,14-16,17-,18-19,-,20-26,-,27+
Adam Kennedy,Angels,9,UL,190,'05,10,15,2B+1,L,,,1-2,3-4,5-6,7-9,10-16,17-,18-19,-,20+
Troy Percival,Angels,10,UL,190,'05,4,1,Closer,R,,1-4,5-8,9-13,14-16,17-,18-21,-,22-23,-,24+
Chone Figgins,Angels,4,UL,180,'05,10,21,"IF+1, CF+1",S,,,1-,2-3,4-5,6-8,9-14,15-17,18-,19-,20+
Darin Erstad,Angels,3,UL,170,'05,10,15,1B+1,L,G,,1-,2-4,5-6,7-9,10-16,17-,18-19,-,20+
**Jeff DaVanon,Angels,105,UL,170,'05,11,16,CF+1,S,,,1-2,3-4,5-6,7-11,12-16,17-18,19-,-,20+
Kevin Gregg,Angels,6,UL,130,'05,3,2,Reliever,R,,1-2,3-7,8-13,14-16,17-,18-19,-,20-25,-,26+
**Bengie Molina,Angels,59,UL,130,'05,9,10,C+4,R,,,1-,2-4,5-6,7-8,9-17,-,18-19,-,20+
**Orlando Cabrera,Angels,47,UL,120,'05,9,15,SS+2,R,,,1-,2-4,5-7,8-10,11-16,17-,18-19,-,20+
David Eckstein,Angels,2,UL,90,'05,10,15,SS+1,R,,,1-,2-4,5-6,7-9,10-17,18-,19-20,-,21+
**Esteban Yan,Angels,94,UL,80,'05,2,1,Reliever,R,,1-2,3-6,7-13,14-15,16-17,18-19,-,20-25,-,26+
